date,time,hour,day,month,day_of_week,is_weekend,temperature,humidity,number_of_people,appliance_usage,previous_consumption,rolling_3h_avg,ac_consumption,refrigerator_consumption,lighting_consumption,laundry_consumption,other_consumption,energy_consumption
2024-01-01,21:00,21,1,1,0,0,10.0,87.6,2,High,6.2,6.53,0.84,0.21,0.22,0.0,6.83,8.1
2024-01-01,22:00,22,1,1,0,0,10.0,91.8,1,High,8.1,7.1,0.84,0.19,0.15,0.0,4.48,5.66
2024-01-01,23:00,23,1,1,0,0,10.0,76.8,3,Low,5.66,6.65,0.46,0.2,0.28,0.0,2.64,3.58
2024-01-02,00:00,0,2,1,1,0,10.0,81.7,5,Low,3.58,5.78,0.46,0.21,0.12,0.0,2.02,2.81
2024-01-02,01:00,1,2,1,1,0,10.0,88.5,2,Low,2.81,4.02,0.46,0.22,0.1,0.0,1.66,2.44
2024-01-02,02:00,2,2,1,1,0,10.0,86.1,2,Low,2.44,2.94,0.46,0.22,0.1,0.0,1.21,1.99
2024-01-02,03:00,3,2,1,1,0,10.0,85.5,1,Low,1.99,2.41,0.46,0.22,0.09,0.0,1.07,1.84
2024-01-02,04:00,4,2,1,1,0,10.0,80.1,1,Low,1.84,2.09,0.46,0.21,0.09,0.0,1.16,1.92
2024-01-02,05:00,5,2,1,1,0,10.0,85.9,2,Low,1.92,1.92,0.46,0.21,0.1,0.0,0.82,1.59
2024-01-02,06:00,6,2,1,1,0,10.0,84.7,3,Medium,1.59,1.78,0.62,0.2,0.1,0.0,2.82,3.74
2024-01-02,07:00,7,2,1,1,0,10.0,82.7,4,Medium,3.74,2.42,0.62,0.21,0.11,0.0,3.87,4.81
2024-01-02,08:00,8,2,1,1,0,10.0,93.9,2,High,4.81,3.38,0.84,0.2,0.1,0.0,4.62,5.76
2024-01-02,09:00,9,2,1,1,0,10.0,82.1,1,High,5.76,4.77,0.84,0.22,0.09,0.0,3.06,4.21
2024-01-02,10:00,10,2,1,1,0,10.0,76.9,3,Low,4.21,4.93,0.46,0.21,0.1,0.0,2.17,2.94
2024-01-02,11:00,11,2,1,1,0,12.4,76.6,2,High,2.94,4.3,0.5,0.21,0.1,0.85,1.69,3.35
2024-01-02,12:00,12,2,1,1,0,13.6,80.9,2,Medium,3.35,3.5,0.25,0.21,0.1,0.0,2.24,2.8
2024-01-02,13:00,13,2,1,1,0,13.1,81.3,2,Medium,2.8,3.03,0.3,0.21,0.1,0.0,2.64,3.25
2024-01-02,14:00,14,2,1,1,0,13.6,81.7,1,Low,3.25,3.13,0.18,0.21,0.09,0.0,1.5,1.98
2024-01-02,15:00,15,2,1,1,0,13.2,81.9,1,Low,1.98,2.68,0.21,0.2,0.09,0.0,0.91,1.41
2024-01-02,16:00,16,2,1,1,0,13.3,74.7,2,Low,1.41,2.21,0.21,0.21,0.1,0.0,1.62,2.14
2024-01-02,17:00,17,2,1,1,0,14.5,69.5,2,Low,2.14,1.84,0.11,0.19,0.1,0.0,3.34,3.74
2024-01-02,18:00,18,2,1,1,0,11.6,84.5,3,Medium,3.74,2.43,0.46,0.21,0.28,0.0,4.85,5.8
2024-01-02,19:00,19,2,1,1,0,10.0,78.0,5,High,5.8,3.89,0.84,0.21,0.42,0.85,6.59,8.91
2024-01-02,20:00,20,2,1,1,0,10.0,81.1,3,High,8.91,6.15,0.84,0.19,0.28,0.85,6.72,8.88
2024-01-02,21:00,21,2,1,1,0,10.0,70.0,2,Medium,8.88,7.86,0.62,0.21,0.22,0.0,5.74,6.79
2024-01-02,22:00,22,2,1,1,0,10.0,83.5,3,High,6.79,8.19,0.84,0.19,0.28,0.0,4.38,5.69
2024-01-02,23:00,23,2,1,1,0,10.0,83.8,1,Medium,5.69,7.12,0.62,0.21,0.15,0.0,2.82,3.8
2024-01-03,00:00,0,3,1,2,0,10.0,78.0,3,Low,3.8,5.43,0.46,0.22,0.1,0.0,1.59,2.37
2024-01-03,01:00,1,3,1,2,0,10.0,81.1,2,Low,2.37,3.95,0.46,0.19,0.1,0.0,1.17,1.92
2024-01-03,02:00,2,3,1,2,0,10.0,86.4,2,Low,1.92,2.7,0.46,0.21,0.1,0.0,1.16,1.93
2024-01-03,03:00,3,3,1,2,0,10.0,80.5,2,Low,1.93,2.07,0.46,0.21,0.1,0.0,1.16,1.93
2024-01-03,04:00,4,3,1,2,0,10.0,83.5,3,Low,1.93,1.93,0.46,0.22,0.1,0.0,1.25,2.03
2024-01-03,05:00,5,3,1,2,0,10.0,89.2,4,Low,2.03,1.96,0.46,0.22,0.11,0.0,1.24,2.03
2024-01-03,06:00,6,3,1,2,0,10.0,83.1,2,High,2.03,2.0,0.84,0.22,0.1,0.0,3.85,5.01
2024-01-03,07:00,7,3,1,2,0,10.0,83.4,3,Medium,5.01,3.02,0.62,0.2,0.1,0.0,4.03,4.95
2024-01-03,08:00,8,3,1,2,0,10.0,86.2,4,High,4.95,4.0,0.84,0.21,0.11,0.0,5.08,6.24
2024-01-03,09:00,9,3,1,2,0,10.0,86.9,1,Low,6.24,5.4,0.46,0.21,0.09,0.0,2.22,2.98
2024-01-03,10:00,10,3,1,2,0,10.0,84.0,1,Medium,2.98,4.72,0.62,0.19,0.09,0.0,1.9,2.8
2024-01-03,11:00,11,3,1,2,0,13.3,73.2,2,High,2.8,4.01,0.38,0.21,0.1,0.85,1.39,2.93
2024-01-03,12:00,12,3,1,2,0,12.3,79.4,2,Medium,2.93,2.9,0.38,0.2,0.1,0.0,1.93,2.61
2024-01-03,13:00,13,3,1,2,0,13.8,79.7,2,Medium,2.61,2.78,0.23,0.2,0.1,0.0,1.76,2.29
2024-01-03,14:00,14,3,1,2,0,14.8,75.6,1,High,2.29,2.61,0.17,0.22,0.09,0.0,2.06,2.54
2024-01-03,15:00,15,3,1,2,0,15.0,77.4,4,Medium,2.54,2.48,0.1,0.21,0.11,0.0,2.17,2.59
2024-01-03,16:00,16,3,1,2,0,15.8,73.0,1,High,2.59,2.47,0.03,0.21,0.09,0.0,2.12,2.45
2024-01-03,17:00,17,3,1,2,0,13.4,75.6,1,Low,2.45,2.53,0.2,0.19,0.09,0.0,3.13,3.61
2024-01-03,18:00,18,3,1,2,0,11.4,88.8,2,High,3.61,2.88,0.64,0.2,0.22,0.0,6.2,7.26
2024-01-03,19:00,19,3,1,2,0,11.3,86.2,5,Medium,7.26,4.44,0.49,0.2,0.42,0.0,5.9,7.01
2024-01-03,20:00,20,3,1,2,0,10.0,88.0,3,Medium,7.01,5.96,0.62,0.22,0.28,0.0,5.65,6.77
2024-01-03,21:00,21,3,1,2,0,10.0,83.0,4,High,6.77,7.01,0.84,0.2,0.35,0.0,7.32,8.71
2024-01-03,22:00,22,3,1,2,0,10.0,82.4,5,High,8.71,7.5,0.84,0.2,0.42,0.0,5.4,6.86
2024-01-03,23:00,23,3,1,2,0,10.0,84.3,3,Medium,6.86,7.45,0.62,0.22,0.28,0.0,3.37,4.49
2024-01-04,00:00,0,4,1,3,0,10.0,90.0,4,Low,4.49,6.69,0.46,0.21,0.11,0.0,2.06,2.84
2024-01-04,01:00,1,4,1,3,0,10.0,81.3,1,Low,2.84,4.73,0.46,0.21,0.09,0.0,1.01,1.77
2024-01-04,02:00,2,4,1,3,0,10.0,74.8,5,Low,1.77,3.03,0.46,0.2,0.12,0.0,1.7,2.48
2024-01-04,03:00,3,4,1,3,0,10.0,86.9,5,Low,2.48,2.36,0.46,0.22,0.12,0.0,1.64,2.44
2024-01-04,04:00,4,4,1,3,0,10.0,82.8,3,Low,2.44,2.23,0.46,0.21,0.1,0.0,0.92,1.69
2024-01-04,05:00,5,4,1,3,0,10.0,82.5,2,Low,1.69,2.2,0.46,0.19,0.1,0.0,0.94,1.69
2024-01-04,06:00,6,4,1,3,0,10.0,79.2,2,Low,1.69,1.94,0.46,0.2,0.1,0.0,2.54,3.3
2024-01-04,07:00,7,4,1,3,0,10.0,80.9,2,Low,3.3,2.23,0.46,0.2,0.1,0.0,2.42,3.18
2024-01-04,08:00,8,4,1,3,0,10.0,78.2,3,Medium,3.18,2.72,0.62,0.19,0.1,0.0,3.57,4.48
2024-01-04,09:00,9,4,1,3,0,11.0,81.4,2,High,4.48,3.65,0.7,0.2,0.1,0.0,2.86,3.86
2024-01-04,10:00,10,4,1,3,0,10.7,73.0,2,Low,3.86,3.84,0.41,0.22,0.1,0.0,1.94,2.67
2024-01-04,11:00,11,4,1,3,0,11.1,94.0,1,Medium,2.67,3.67,0.51,0.2,0.09,0.0,1.91,2.71
2024-01-04,12:00,12,4,1,3,0,12.3,74.6,1,Low,2.71,3.08,0.28,0.22,0.09,0.0,1.22,1.81
2024-01-04,13:00,13,4,1,3,0,13.4,85.7,2,Medium,1.81,2.4,0.27,0.21,0.1,0.0,1.85,2.43
2024-01-04,14:00,14,4,1,3,0,15.8,78.2,1,Low,2.43,2.32,0.02,0.21,0.09,0.0,1.54,1.86
2024-01-04,15:00,15,4,1,3,0,12.2,74.8,1,Low,1.86,2.03,0.29,0.19,0.09,0.0,1.27,1.84
2024-01-04,16:00,16,4,1,3,0,12.5,76.5,1,High,1.84,2.04,0.49,0.22,0.09,0.0,1.49,2.29
2024-01-04,17:00,17,4,1,3,0,13.1,78.3,4,High,2.29,2.0,0.4,0.2,0.11,0.0,6.27,6.98
2024-01-04,18:00,18,4,1,3,0,11.6,77.2,5,High,6.98,3.7,0.61,0.2,0.42,0.0,7.75,8.98
2024-01-04,19:00,19,4,1,3,0,10.0,79.9,3,Medium,8.98,6.08,0.62,0.21,0.28,0.0,5.78,6.89
2024-01-04,20:00,20,4,1,3,0,10.0,76.4,2,High,6.89,7.62,0.84,0.19,0.22,0.85,6.01,8.11
2024-01-04,21:00,21,4,1,3,0,10.0,87.0,2,High,8.11,7.99,0.84,0.21,0.22,0.0,7.08,8.35
2024-01-04,22:00,22,4,1,3,0,10.0,79.8,2,High,8.35,7.78,0.84,0.2,0.22,0.0,4.49,5.75
2024-01-04,23:00,23,4,1,3,0,10.0,83.3,3,Medium,5.75,7.4,0.62,0.21,0.28,0.0,3.2,4.31
2024-01-05,00:00,0,5,1,4,0,10.0,81.3,2,Low,4.31,6.14,0.46,0.2,0.1,0.0,1.66,2.42
2024-01-05,01:00,1,5,1,4,0,10.0,81.9,4,Low,2.42,4.16,0.46,0.2,0.11,0.0,1.61,2.38
2024-01-05,02:00,2,5,1,4,0,10.0,81.6,4,Low,2.38,3.04,0.46,0.2,0.11,0.0,1.49,2.26
2024-01-05,03:00,3,5,1,4,0,10.0,86.6,3,Low,2.26,2.35,0.46,0.22,0.1,0.0,1.24,2.02
2024-01-05,04:00,4,5,1,4,0,10.0,87.6,2,Low,2.02,2.22,0.46,0.22,0.1,0.0,1.13,1.91
2024-01-05,05:00,5,5,1,4,0,10.0,81.1,2,Low,1.91,2.06,0.46,0.21,0.1,0.0,1.06,1.83
2024-01-05,06:00,6,5,1,4,0,10.0,81.1,4,High,1.83,1.92,0.84,0.19,0.11,0.0,4.68,5.82
2024-01-05,07:00,7,5,1,4,0,10.0,86.0,4,Medium,5.82,3.19,0.62,0.21,0.11,0.0,4.16,5.1
2024-01-05,08:00,8,5,1,4,0,10.0,78.0,2,High,5.1,4.25,0.84,0.22,0.1,0.0,4.51,5.67
2024-01-05,09:00,9,5,1,4,0,10.0,84.1,1,Medium,5.67,5.53,0.62,0.22,0.09,0.0,2.23,3.16
2024-01-05,10:00,10,5,1,4,0,11.1,84.6,2,High,3.16,4.64,0.68,0.21,0.1,0.85,1.78,3.62
2024-01-05,11:00,11,5,1,4,0,10.9,88.3,3,High,3.62,4.15,0.71,0.19,0.1,0.85,2.06,3.91
2024-01-05,12:00,12,5,1,4,0,13.3,83.4,1,Low,3.91,3.56,0.21,0.19,0.09,0.0,1.87,2.36
2024-01-05,13:00,13,5,1,4,0,13.1,75.2,1,High,2.36,3.3,0.4,0.2,0.09,0.0,1.8,2.49
2024-01-05,14:00,14,5,1,4,0,13.6,85.4,1,Medium,2.49,2.92,0.25,0.2,0.09,0.0,1.66,2.2
2024-01-05,15:00,15,5,1,4,0,12.2,79.4,1,Medium,2.2,2.35,0.39,0.21,0.09,0.0,1.71,2.4
2024-01-05,16:00,16,5,1,4,0,12.9,75.1,1,High,2.4,2.36,0.43,0.21,0.09,0.0,1.98,2.71
2024-01-05,17:00,17,5,1,4,0,12.4,80.9,1,Low,2.71,2.44,0.28,0.2,0.09,0.0,3.25,3.82
2024-01-05,18:00,18,5,1,4,0,10.1,83.3,4,High,3.82,2.98,0.82,0.21,0.35,0.0,6.19,7.57
2024-01-05,19:00,19,5,1,4,0,10.0,81.6,4,High,7.57,4.7,0.84,0.2,0.35,0.85,6.58,8.82
2024-01-05,20:00,20,5,1,4,0,10.0,90.0,1,Medium,8.82,6.74,0.62,0.2,0.15,0.0,5.77,6.74
2024-01-05,21:00,21,5,1,4,0,10.0,85.9,1,Medium,6.74,7.71,0.62,0.2,0.15,0.0,5.06,6.03
2024-01-05,22:00,22,5,1,4,0,10.0,85.9,1,Medium,6.03,7.2,0.62,0.2,0.15,0.0,3.06,4.03
2024-01-05,23:00,23,5,1,4,0,10.0,78.7,2,High,4.03,5.6,0.84,0.19,0.22,0.0,3.48,4.73
2024-01-06,00:00,0,6,1,5,1,10.0,78.0,3,Low,4.73,4.93,0.46,0.2,0.1,0.0,1.78,2.54
2024-01-06,01:00,1,6,1,5,1,10.0,88.3,3,Low,2.54,3.77,0.46,0.2,0.1,0.0,1.01,1.77
2024-01-06,02:00,2,6,1,5,1,10.0,89.8,3,Low,1.77,3.01,0.46,0.22,0.1,0.0,1.02,1.8
2024-01-06,03:00,3,6,1,5,1,10.0,86.9,4,Low,1.8,2.04,0.46,0.19,0.11,0.0,1.29,2.05
2024-01-06,04:00,4,6,1,5,1,10.0,76.2,4,Low,2.05,1.87,0.46,0.22,0.11,0.0,1.36,2.15
2024-01-06,05:00,5,6,1,5,1,10.0,77.8,3,Low,2.15,2.0,0.46,0.22,0.1,0.0,1.22,2.0
2024-01-06,06:00,6,6,1,5,1,10.0,79.1,3,Medium,2.0,2.07,0.62,0.19,0.1,0.0,3.1,4.01
2024-01-06,07:00,7,6,1,5,1,10.0,84.0,4,Medium,4.01,2.72,0.62,0.22,0.11,0.0,4.04,4.99
2024-01-06,08:00,8,6,1,5,1,10.0,77.9,3,Low,4.99,3.67,0.46,0.21,0.1,0.0,3.07,3.84
2024-01-06,09:00,9,6,1,5,1,10.0,80.6,3,Medium,3.84,4.28,0.62,0.2,0.1,0.0,2.87,3.79
2024-01-06,10:00,10,6,1,5,1,10.0,93.5,4,High,3.79,4.21,0.84,0.19,0.11,0.85,3.51,5.5
2024-01-06,11:00,11,6,1,5,1,10.4,92.8,3,Medium,5.5,4.38,0.58,0.19,0.1,0.0,3.52,4.39
2024-01-06,12:00,12,6,1,5,1,13.2,86.2,4,Medium,4.39,4.56,0.29,0.21,0.11,0.0,3.54,4.15
2024-01-06,13:00,13,6,1,5,1,14.4,80.2,3,Low,4.15,4.68,0.12,0.19,0.1,0.0,2.29,2.7
2024-01-06,14:00,14,6,1,5,1,13.9,80.8,2,Medium,2.7,3.75,0.22,0.21,0.1,0.0,2.76,3.29
2024-01-06,15:00,15,6,1,5,1,14.5,80.9,3,Medium,3.29,3.38,0.16,0.22,0.1,0.0,3.03,3.51
2024-01-06,16:00,16,6,1,5,1,13.7,79.4,2,Medium,3.51,3.17,0.24,0.22,0.1,0.0,2.89,3.45
2024-01-06,17:00,17,6,1,5,1,12.0,80.4,5,Medium,3.45,3.42,0.41,0.21,0.12,0.0,5.44,6.18
2024-01-06,18:00,18,6,1,5,1,11.1,79.8,3,Medium,6.18,4.38,0.51,0.21,0.28,0.0,5.21,6.21
2024-01-06,19:00,19,6,1,5,1,11.1,80.9,3,High,6.21,5.28,0.68,0.21,0.28,0.85,6.0,8.02
2024-01-06,20:00,20,6,1,5,1,10.0,86.6,3,Low,8.02,6.8,0.46,0.21,0.28,0.0,4.87,5.82
2024-01-06,21:00,21,6,1,5,1,10.0,80.9,3,High,5.82,6.68,0.84,0.22,0.28,0.0,7.08,8.42
2024-01-06,22:00,22,6,1,5,1,10.0,88.8,3,High,8.42,7.42,0.84,0.2,0.28,0.0,4.64,5.96
2024-01-06,23:00,23,6,1,5,1,10.0,79.0,1,Low,5.96,6.73,0.46,0.2,0.15,0.0,2.38,3.19
2024-01-07,00:00,0,7,1,6,1,10.0,79.0,3,Low,3.19,5.86,0.46,0.22,0.1,0.0,1.65,2.43
2024-01-07,01:00,1,7,1,6,1,10.0,92.2,2,Low,2.43,3.86,0.46,0.2,0.1,0.0,1.02,1.78
2024-01-07,02:00,2,7,1,6,1,10.0,85.0,4,Low,1.78,2.47,0.46,0.2,0.11,0.0,1.17,1.94
2024-01-07,03:00,3,7,1,6,1,10.0,85.2,3,Low,1.94,2.05,0.46,0.22,0.1,0.0,1.03,1.81
2024-01-07,04:00,4,7,1,6,1,10.0,80.7,4,Low,1.81,1.84,0.46,0.2,0.11,0.0,1.19,1.96
2024-01-07,05:00,5,7,1,6,1,10.0,92.4,4,Low,1.96,1.9,0.46,0.22,0.11,0.0,1.47,2.26
2024-01-07,06:00,6,7,1,6,1,10.0,81.4,5,High,2.26,2.01,0.84,0.21,0.12,0.0,4.93,6.1
2024-01-07,07:00,7,7,1,6,1,10.0,82.3,3,Medium,6.1,3.44,0.62,0.2,0.1,0.0,4.06,4.98
2024-01-07,08:00,8,7,1,6,1,10.0,83.9,5,Medium,4.98,4.45,0.62,0.2,0.12,0.0,4.55,5.49
2024-01-07,09:00,9,7,1,6,1,10.0,85.7,3,High,5.49,5.52,0.84,0.21,0.1,0.0,4.71,5.86
2024-01-07,10:00,10,7,1,6,1,12.0,82.6,4,Medium,5.86,5.44,0.41,0.22,0.11,0.0,3.7,4.44
2024-01-07,11:00,11,7,1,6,1,12.8,79.0,3,Medium,4.44,5.26,0.33,0.21,0.1,0.0,3.28,3.92
2024-01-07,12:00,12,7,1,6,1,13.2,84.3,1,Low,3.92,4.74,0.21,0.2,0.09,0.0,2.2,2.7
2024-01-07,13:00,13,7,1,6,1,13.9,80.9,4,Low,2.7,3.69,0.16,0.21,0.11,0.0,2.72,3.2
2024-01-07,14:00,14,7,1,6,1,13.9,79.4,4,High,3.2,3.27,0.29,0.19,0.11,0.0,4.13,4.72
2024-01-07,15:00,15,7,1,6,1,14.3,82.1,2,Medium,4.72,3.54,0.18,0.21,0.1,0.0,2.92,3.41
2024-01-07,16:00,16,7,1,6,1,12.5,81.5,4,Low,3.41,3.78,0.27,0.21,0.11,0.0,2.48,3.07
2024-01-07,17:00,17,7,1,6,1,10.0,80.8,3,High,3.07,3.73,0.84,0.2,0.1,0.0,6.67,7.81
2024-01-07,18:00,18,7,1,6,1,11.5,79.2,4,Medium,7.81,4.76,0.47,0.2,0.35,0.0,6.16,7.18
2024-01-07,19:00,19,7,1,6,1,11.1,84.3,3,High,7.18,6.02,0.68,0.2,0.28,0.85,6.32,8.33
2024-01-07,20:00,20,7,1,6,1,10.0,84.0,5,Medium,8.33,7.77,0.62,0.2,0.42,0.0,6.26,7.5
2024-01-07,21:00,21,7,1,6,1,10.0,82.7,5,Medium,7.5,7.67,0.62,0.21,0.42,0.0,6.24,7.49
2024-01-07,22:00,22,7,1,6,1,10.0,84.8,4,High,7.49,7.77,0.84,0.2,0.35,0.0,4.91,6.3
2024-01-07,23:00,23,7,1,6,1,10.0,80.3,3,Medium,6.3,7.1,0.62,0.21,0.28,0.0,3.69,4.8
2024-01-08,00:00,0,8,1,0,0,10.0,80.4,2,Low,4.8,6.2,0.46,0.21,0.1,0.0,1.64,2.41
2024-01-08,01:00,1,8,1,0,0,10.0,87.1,4,Low,2.41,4.5,0.46,0.19,0.11,0.0,1.26,2.02
2024-01-08,02:00,2,8,1,0,0,10.0,82.8,2,Low,2.02,3.08,0.46,0.21,0.1,0.0,1.03,1.8
2024-01-08,03:00,3,8,1,0,0,10.0,85.1,1,Low,1.8,2.08,0.46,0.21,0.09,0.0,1.14,1.9
2024-01-08,04:00,4,8,1,0,0,10.0,80.3,1,Low,1.9,1.91,0.46,0.21,0.09,0.0,0.66,1.42
2024-01-08,05:00,5,8,1,0,0,10.0,87.0,2,Low,1.42,1.71,0.46,0.19,0.1,0.0,1.0,1.75
2024-01-08,06:00,6,8,1,0,0,10.0,86.7,1,High,1.75,1.69,0.84,0.22,0.09,0.0,3.87,5.02
2024-01-08,07:00,7,8,1,0,0,10.0,86.6,2,High,5.02,2.73,0.84,0.22,0.1,0.0,4.76,5.92
2024-01-08,08:00,8,8,1,0,0,10.0,83.8,3,Medium,5.92,4.23,0.62,0.19,0.1,0.0,4.1,5.01
2024-01-08,09:00,9,8,1,0,0,10.0,80.4,3,Medium,5.01,5.32,0.62,0.2,0.1,0.0,2.64,3.56
2024-01-08,10:00,10,8,1,0,0,11.6,78.8,2,Medium,3.56,4.83,0.46,0.22,0.1,0.0,1.95,2.73
2024-01-08,11:00,11,8,1,0,0,13.1,79.4,1,Medium,2.73,3.77,0.3,0.19,0.09,0.0,1.75,2.33
2024-01-08,12:00,12,8,1,0,0,12.9,72.8,3,Medium,2.33,2.87,0.32,0.2,0.1,0.0,1.72,2.34
2024-01-08,13:00,13,8,1,0,0,12.7,80.7,1,Medium,2.34,2.47,0.34,0.22,0.09,0.0,1.8,2.45
2024-01-08,14:00,14,8,1,0,0,13.8,82.0,1,Medium,2.45,2.37,0.23,0.21,0.09,0.0,1.75,2.28
2024-01-08,15:00,15,8,1,0,0,12.3,77.7,2,High,2.28,2.36,0.52,0.2,0.1,0.0,2.42,3.24
2024-01-08,16:00,16,8,1,0,0,13.2,83.9,1,High,3.24,2.66,0.39,0.21,0.09,0.0,1.91,2.6
2024-01-08,17:00,17,8,1,0,0,12.5,78.6,4,Low,2.6,2.71,0.27,0.2,0.11,0.0,3.52,4.1
2024-01-08,18:00,18,8,1,0,0,10.4,83.9,5,High,4.1,3.31,0.78,0.21,0.42,0.0,6.46,7.87
2024-01-08,19:00,19,8,1,0,0,10.0,76.8,3,High,7.87,4.86,0.84,0.2,0.28,0.85,6.42,8.59
2024-01-08,20:00,20,8,1,0,0,10.0,91.3,4,High,8.59,6.85,0.84,0.19,0.35,0.85,6.86,9.09
2024-01-08,21:00,21,8,1,0,0,10.0,82.7,3,High,9.09,8.52,0.84,0.19,0.28,0.0,7.65,8.96
2024-01-08,22:00,22,8,1,0,0,10.0,82.7,2,High,8.96,8.88,0.84,0.22,0.22,0.0,4.6,5.88
2024-01-08,23:00,23,8,1,0,0,10.0,87.0,3,Medium,5.88,7.98,0.62,0.19,0.28,0.0,2.76,3.85
2024-01-09,00:00,0,9,1,1,0,10.0,78.8,2,Low,3.85,6.23,0.46,0.22,0.1,0.0,1.36,2.14
2024-01-09,01:00,1,9,1,1,0,10.0,85.2,4,Low,2.14,3.96,0.46,0.21,0.11,0.0,1.2,1.98
2024-01-09,02:00,2,9,1,1,0,10.0,82.8,4,Low,1.98,2.66,0.46,0.2,0.11,0.0,1.53,2.3
2024-01-09,03:00,3,9,1,1,0,10.0,78.6,3,Low,2.3,2.14,0.46,0.21,0.1,0.0,1.54,2.31
2024-01-09,04:00,4,9,1,1,0,10.0,84.3,4,Low,2.31,2.2,0.46,0.22,0.11,0.0,1.69,2.48
2024-01-09,05:00,5,9,1,1,0,10.0,76.3,3,Low,2.48,2.36,0.46,0.21,0.1,0.0,1.13,1.9
2024-01-09,06:00,6,9,1,1,0,10.0,88.5,4,Low,1.9,2.23,0.46,0.21,0.11,0.0,2.28,3.06
2024-01-09,07:00,7,9,1,1,0,10.0,79.0,2,Medium,3.06,2.48,0.62,0.19,0.1,0.0,2.84,3.75
2024-01-09,08:00,8,9,1,1,0,10.0,87.0,3,Medium,3.75,2.9,0.62,0.2,0.1,0.0,3.62,4.54
2024-01-09,09:00,9,9,1,1,0,10.9,76.4,1,Medium,4.54,3.78,0.53,0.21,0.09,0.0,1.88,2.71
2024-01-09,10:00,10,9,1,1,0,11.7,84.4,4,Low,2.71,3.67,0.33,0.22,0.11,0.0,1.76,2.42
2024-01-09,11:00,11,9,1,1,0,12.7,76.7,1,Low,2.42,3.22,0.25,0.2,0.09,0.0,1.25,1.79
2024-01-09,12:00,12,9,1,1,0,13.4,84.5,1,Medium,1.79,2.31,0.27,0.19,0.09,0.0,1.4,1.95
2024-01-09,13:00,13,9,1,1,0,11.9,82.9,1,Medium,1.95,2.05,0.42,0.19,0.09,0.0,1.38,2.08
2024-01-09,14:00,14,9,1,1,0,12.1,82.2,4,Medium,2.08,1.94,0.4,0.21,0.11,0.0,2.09,2.81
2024-01-09,15:00,15,9,1,1,0,13.9,78.8,2,High,2.81,2.28,0.29,0.2,0.1,0.0,2.59,3.18
